INSTITUICAO_ENSINO_ALUNO_2020,NOME,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,FASE_2021,TURMA_2021,INSTITUICAO_ENSINO_ALUNO_2021,SINALIZADOR_INGRESSANTE_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021,FASE_2022,TURMA_2022,ANO_INGRESSO_2022,BOLSISTA_2022,INDE_2022,CG_2022,CF_2022,CT_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,NOTA_PORT_2022,NOTA_MAT_2022,NOTA_ING_2022,QTD_AVAL_2022,IPP_2022,REC_AVA_1_2022,REC_AVA_2_2022,REC_AVA_3_2022,REC_AVA_4_2022,INDICADO_BOLSA_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022,NIVEL_IDEAL_2022
Escola Pública,ALUNO-1,11,2,2H,Não,7.883752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.50002,8.7,7.5,7,5.9375,7.75,10,2,G,Rede Decisão,Ingressante,Ametista,7.319,7.5,6.3,6.9,8.8,7.7,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.1,5,Nível 3 (7o e 8o ano),-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,K,2022,Não,7.67550935310685,245,66,6,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,7.58170509886757,7.5,8.81666666666667,8.2,9.43333333333333,,2,5.625,Mantido na Fase + Bolsa,Mantido na Fase atual,,,Sim,Não,7.916665,5,Fase 2 (5º e 6º ano)
Escola Pública,ALUNO-3,12,2,3H,Não,7.85638966666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,8.9,7.5,5.5,8.125,8.11111333333333,10,3,F,Escola Pública,Veterano,Ametista,7.021,7.1,6.9,6.3,5.6,7.3,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.2,10,Nível 3 (7o e 8o ano),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-4,10,2,1D,Não,5.076252,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.00002,4.1,6.875,0,7.1875,7.75,5,,,,,,,,,,,,,,,,,,,,,2,J,2022,Não,7.11706504761905,451,69,3,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,8.07142857142857,7.5,5.08333333333333,5,5.16666666666667,,3,6.25,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,Não,Não,8.05555333333333,5,Fase 3 (7º e 8º ano)
Escola Pública,ALUNO-5,10,1,2M,Não,8.077085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.50002,8,7.5,7.5,8.4375,8.166665,10,2,L,Escola Pública,Veterano,Ametista,7.399,7.4,7.5,7.5,5.4,8.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.4,10,Nível 2 (5o e 6o ano),0,2,L,2019,Não,7.2323363079922,415,61,12,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.41668,8.55750487329435,7.5,7.08333333333333,6.66666666666667,7.5,,3,6.45833333333333,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,7.83333666666667,5,Fase 3 (7º e 8º ano)
,ALUNO-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,K,2022,Não,7.74166866666667,221,35,2,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.00002,9.33333333333333,7.5,5.5,3,8,,3,6.25,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,7.5,10,Fase 2 (5º e 6º ano)
,ALUNO-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,U,2022,Não,7.4067434770259,357,93,7,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.31495405179616,7.5,5.58333333333333,4.66666666666667,6.5,,2,5.9375,Promovido de Fase,Promovido de Fase,,,Não,Não,7.91667,5,Fase 2 (5º e 6º ano)
Rede Decisão/União,ALUNO-8,14,3,4L,Sim,8.38139066666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.9,4.375,7.33333333333333,8.74999999999999,8.94445,10,5,L,Rede Decisão,Veterano,Topázio,8.269,8.8,8.6,7.5,7.1,8,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,8.5,10,Nível 5 (1o EM),0,5,K,2017,Sim,7.28979544250194,397,26,6,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.16668,8.26806526806527,5,7.14444444444444,6.5,7.66666666666667,7.26666666666667,4,7.65625,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Não,Não,7.6250025,5,Fase 6 (2º EM)
,ALUNO-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Z,2022,Não,5.66574620465525,767,184,9,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.00002,6.82037768994291,5,2.13333333333333,2.46666666666667,1.8,,2,3.75,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,5.50001,10,ALFA  (2º e 3º ano)
Escola Pública,ALUNO-10,13,1,3B,Não,5.1618745,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.83333,5.2,3.75,0,7.96875,6.8333325,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
